"رقم الموظف ",الجنس,الجنسية,"الفئة العمرية ",الجهة,الكادر الوظيفي,المرتبة الوظيفية,المسمى الوظيفي,المقر,المنطقة الإدارية,تصنيف العملية,السنة,الشهر,"اليوم "
51,ذكر,سعودي,25-30,رئاسة الإستخبارات العامة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1445,12,27
52,ذكر,سعودي,31-35,رئاسة الإستخبارات العامة,الموظفين,السادسة,مساعد إداري ممارس ثاني,الرياض,الرياض,التعيين,1445,12,27
53,ذكر,سعودي,46-50,وزارة الإعلام,الموظفين,السادسة,مساعد إداري,الرياض,الرياض,التعيين,1445,12,27
54,أنثى,سعودي,36-40,وزارة البلديات والإسكان,المتعاقدين,متعاقد,أخصائي تخطيط مالي,الرياض,الرياض,التعاقد,1445,12,27
55,ذكر,سعودي,36-40,وزارة البيئة والمياه والزراعة,الموظفين,السابعة,مراقب أمن وسلامة,جازان,جازان,التعاقد,1445,12,27
56,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,مساعد إداري,رفحاء,عرعر,التعاقد,1445,12,27
57,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,مساعد إداري,حائل,حائل,التعاقد,1445,12,27
58,ذكر,سعودي,36-40,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,أمين مستودع,ابها,ابها,التعاقد,1445,12,27
59,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الرس,بريده,التعاقد,1445,12,27
60,ذكر,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فني تمريض,نجران,نجران,التعاقد,1445,12,27
61,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,بدرالجنوب,نجران,التعاقد,1445,12,27
62,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,بدرالجنوب,نجران,التعاقد,1445,12,27
63,أنثى,سعودي,36-40,الأمن العام,لم يحدد,لم يحدد,مساعد إداري,الخبر,الدمام,التعاقد,1445,12,28
64,ذكر,سعودي,51-55,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1445,12,28
65,أنثى,سعودي,25-30,هيئة الخبراء,المتعاقدين,متعاقد,أخصائي قانوني,الرياض,الرياض,التعاقد,1445,12,28
66,أنثى,سعودي,25-30,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,مساعد إداري,جازان,جازان,التعاقد,1445,12,28
67,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,عنيزه,بريده,التعاقد,1445,12,28
68,ذكر,سعودي,36-40,أمانة منطقة المدينة المنورة,المتعاقدين,متعاقد,مهندس تخطيط,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,1
69,ذكر,سعودي,31-35,أمانة منطقة جازان,لم يحدد,لم يحدد,مهندس تخطيط مساعد,جازان,جازان,التعاقد,1446,1,1
70,ذكر,سعودي,25-30,إمارة منطقة الحدود الشمالية,الموظفين,السادسة,رئيس دورية,حزم الجلاميد,عرعر,التعيين,1446,1,1
71,أنثى,سعودي,31-35,إمارة منطقة مكة المكرمة,لم يحدد,لم يحدد,باحث قضايا مساعد,مكة المكرمة,مكة المكرمة,التعاقد,1446,1,1
72,أنثى,سعودي,41-45,الأمن العام,لم يحدد,لم يحدد,مأمور مهمات,المجارده,ابها,التعاقد,1446,1,1
73,أنثى,سعودي,41-45,الأمن العام,لم يحدد,لم يحدد,مساعد إداري متقدم,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,1
74,أنثى,سعودي,25-30,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,صيدلي,الظهران,الدمام,التعاقد,1446,1,1
75,أنثى,سعودي,31-35,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,فني,الرياض,الرياض,التعاقد,1446,1,1
76,ذكر,"مقيم ",36-40,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,أستاذ مشارك,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,1
77,ذكر,سعودي,31-35,جامعة الإمام محمد بن سعود,الصحيين,أخصائي,أخصائي,الرياض,الرياض,التعيين,1446,1,1
78,ذكر,"مقيم ",36-40,جامعة الإمام محمد بن سعود,لم يحدد,لم يحدد,أستاذ مساعد,الرياض,الرياض,التعاقد,1446,1,1
79,ذكر,سعودي,36-40,جامعة حائل,الصحيين,فني,فني,حائل,حائل,التعيين,1446,1,1
80,ذكر,سعودي,41-45,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1446,1,1
81,ذكر,سعودي,25-30,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,أمين مستودع,نجران,نجران,التعاقد,1446,1,1
82,ذكر,سعودي,25-30,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,كاتب,بلاد رجال المع,ابها,التعاقد,1446,1,1
83,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,مساعد إداري,الاسياح بالقصيم,بريده,التعاقد,1446,1,1
84,ذكر,سعودي,20-24,وزارة التعليم,لم يحدد,لم يحدد,مساعد إداري ممارس,محايل عسير,ابها,التعاقد,1446,1,1
85,أنثى,سعودي,25-30,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,كاتب,الواديين,ابها,التعاقد,1446,1,1
86,أنثى,سعودي,25-30,وزارة الصحة,الصحيين,فني,فني تمريض,مكة المكرمة,مكة المكرمة,التعيين,1446,1,1
87,أنثى,سعودي,25-30,وزارة الصحة,الصحيين,فني,فني تمريض,مكة المكرمة,مكة المكرمة,التعيين,1446,1,1
88,ذكر,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الدمام,الدمام,التعاقد,1446,1,1
89,ذكر,سعودي,20-24,وزارة الصحة,لم يحدد,لم يحدد,كاتب,محايل عسير,ابها,التعاقد,1446,1,1
90,ذكر,سعودي,36-40,جامعة الجوف,الصحيين,أخصائي,أخصائي,الجوف,الجوف,التعيين,1446,1,2
91,ذكر,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1446,1,2
92,ذكر,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1446,1,2
93,ذكر,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,رابغ,مكة المكرمة,التعيين,1446,1,2
94,أنثى,سعودي,41-45,جامعة طيبة,لم يحدد,لم يحدد,مساعد إداري ممارس ثالث,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,2
95,ذكر,سعودي,36-40,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1446,1,2
96,أنثى,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي خدمات طبية طارئة,الرياض,الرياض,التعيين,1446,1,2
97,ذكر,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي خدمات طبية طارئة,الرياض,الرياض,التعيين,1446,1,2
98,ذكر,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي خدمات طبية طارئة,الرياض,الرياض,التعيين,1446,1,2
99,أنثى,سعودي,31-35,رئاسة أمن الدولة,الصحيين,طبيب مقيم,طبيب مقيم,الرياض,الرياض,التعيين,1446,1,2
100,أنثى,سعودي,31-35,رئاسة أمن الدولة,الصحيين,طبيب مقيم,طبيب مقيم,الرياض,الرياض,التعيين,1446,1,2
101,ذكر,سعودي,31-35,رئاسة أمن الدولة,الصحيين,طبيب مقيم,طبيب مقيم,الرياض,الرياض,التعيين,1446,1,2
102,أنثى,سعودي,31-35,رئاسة أمن الدولة,الصحيين,طبيب نائب,طبيب نائب,الرياض,الرياض,التعيين,1446,1,2
103,ذكر,سعودي,41-45,رئاسة الإستخبارات العامة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1446,1,2
104,أنثى,سعودي,25-30,مجلس الشورى,الموظفين,السادسة,باحث قانوني مساعد,الرياض,الرياض,التعيين,1446,1,2
105,ذكر,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي  تحليل بيانات,الرياض,الرياض,التعاقد,1446,1,2
106,أنثى,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي إداري,الرياض,الرياض,التعاقد,1446,1,2
107,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي تقنية المعلومات,الرياض,الرياض,التعاقد,1446,1,2
108,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي تقنية المعلومات,الرياض,الرياض,التعاقد,1446,1,2
109,أنثى,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي تقنية معلومات,الرياض,الرياض,التعاقد,1446,1,2
110,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي علاقات عامة (ب),الرياض,الرياض,التعاقد,1446,1,2
111,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي ادارة المشاريع,الرياض,الرياض,التعاقد,1446,1,2
112,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي ادارة المشاريع,الرياض,الرياض,التعاقد,1446,1,2
113,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي ادارة المشاريع,الرياض,الرياض,التعاقد,1446,1,2
114,ذكر,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي الخدمات المساندة,الرياض,الرياض,التعاقد,1446,1,2
115,أنثى,سعودي,41-45,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي تخطيط,الرياض,الرياض,التعاقد,1446,1,2
116,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي موارد بشرية,الرياض,الرياض,التعاقد,1446,1,2
117,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي موارد بشرية,الرياض,الرياض,التعاقد,1446,1,2
118,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1446,1,2
119,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1446,1,2
120,أنثى,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1446,1,2
121,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل بيانات,الرياض,الرياض,التعاقد,1446,1,2
122,أنثى,سعودي,36-40,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,مساعد إداري,جدة,مكة المكرمة,التعاقد,1446,1,2
123,أنثى,سعودي,25-30,وزارة الصحة,الصحيين,فني,فني تمريض,مكة المكرمة,مكة المكرمة,التعيين,1446,1,2
124,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الموسم,جازان,التعاقد,1446,1,2
125,ذكر,سعودي,31-35,إمارة منطقة حائل,الموظفين,السابعة,رئيس دورية,حائل,حائل,التعيين,1446,1,3
126,ذكر,"مقيم ",51-55,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,طبيب نائب,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,3
127,ذكر,سعودي,20-24,بلدية الأسياح,لم يحدد,لم يحدد,مراقب أمن وسلامة,الاسياح بالقصيم,بريده,التعاقد,1446,1,3
128,ذكر,سعودي,31-35,بلدية البطحاء,لم يحدد,لم يحدد,رسام معماري,البطحاء,الدمام,التعاقد,1446,1,3
129,أنثى,سعودي,46-50,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1446,1,3
130,ذكر,سعودي,46-50,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1446,1,3
131,أنثى,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي خدمات طبية طارئة,الرياض,الرياض,التعيين,1446,1,3
132,أنثى,سعودي,31-35,معهد الإدارة العامة,التعليميين,معلم ممارس,معلم مـمارس,الرياض,الرياض,التعيين,1446,1,3
133,أنثى,سعودي,31-35,معهد الإدارة العامة,التعليميين,معلم ممارس,معلم مـمارس,الرياض,الرياض,التعيين,1446,1,3
134,ذكر,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,خبير أول,الرياض,الرياض,التعاقد,1446,1,3
135,ذكر,سعودي,20-24,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,كاتب,جازان,جازان,التعاقد,1446,1,3
136,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فني تمريض,الطائف,مكة المكرمة,التعاقد,1446,1,3
137,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,المجارده,ابها,التعاقد,1446,1,3
138,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,الطائف,مكة المكرمة,التعاقد,1446,1,3
139,أنثى,سعودي,31-35,أمانة منطقة جازان,لم يحدد,لم يحدد,مهندس تخطيط مساعد,جازان,جازان,التعاقد,1446,1,4
140,ذكر,سعودي,41-45,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,فني,ابها,ابها,التعاقد,1446,1,4
141,ذكر,سعودي,31-35,جامعة الجوف,أعضاء هيئة التدريس,محاضر,محاضر,الجوف,الجوف,التعيين,1446,1,4
142,ذكر,سعودي,41-45,جامعة الملك عبدالعزيز,لم يحدد,لم يحدد,فني دعم مساعد,جدة,مكة المكرمة,التعاقد,1446,1,4
143,ذكر,سعودي,31-35,مجلس الشورى,الموظفين,السادسة,باحث قانوني مساعد,الرياض,الرياض,التعيين,1446,1,4
144,ذكر,سعودي,31-35,أمانة منطقة جازان,المتعاقدين,متعاقد,مشرف عام,جازان,جازان,التعاقد,1446,1,5
145,أنثى,"مقيم ",41-45,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1446,1,5
146,أنثى,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي  تغذية,الرياض,الرياض,التعيين,1446,1,5
147,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,كاتب,مكة المكرمة,مكة المكرمة,التعاقد,1446,1,5
148,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,القطيف,الدمام,التعاقد,1446,1,5
149,ذكر,سعودي,20-24,وزارة العدل,لم يحدد,لم يحدد,مراقب أمن وسلامة,خميس  مشيط,ابها,التعاقد,1446,1,5
150,ذكر,سعودي,36-40,أمانة منطقة الرياض,الموظفين,الثامنة,مدقق حسابات,الرياض,الرياض,التعيين,1446,1,8
151,ذكر,سعودي,25-30,إمارة منطقة جازان,الموظفين,السابعة,رئيس دورية,صامطه,جازان,التعيين,1446,1,8
152,أنثى,سعودي,31-35,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,فني,الخرج,الرياض,التعاقد,1446,1,8
153,ذكر,"مقيم ",41-45,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,أستاذ مشارك,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,8
154,أنثى,سعودي,36-40,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,مساعد إداري,المدينةالمنورة,المدينةالمنورة,التعاقد,1446,1,8
155,ذكر,سعودي,20-24,رئاسة أمن الدولة,الموظفين,السادسة,محاسب مساعد,الرياض,الرياض,التعيين,1446,1,8
156,ذكر,سعودي,25-30,رئاسة أمن الدولة,الصحيين,أخصائي,أخصائي تمريض ممارس,الرياض,الرياض,التعيين,1446,1,8
157,أنثى,سعودي,25-30,رئاسة أمن الدولة,الصحيين,طبيب مقيم,طبيب مقيم,الرياض,الرياض,التعيين,1446,1,8
158,ذكر,سعودي,25-30,رئاسة أمن الدولة,الصحيين,طبيب مقيم,طبيب مقيم,الرياض,الرياض,التعيين,1446,1,8
159,ذكر,سعودي,31-35,وزارة البلديات والإسكان,المتعاقدين,متعاقد,أخصائي استشارات أعمال متقدم أول,الرياض,الرياض,التعاقد,1446,1,8
160,أنثى,سعودي,41-45,وزارة البلديات والإسكان,المتعاقدين,متعاقد,مدير إداري,الرياض,الرياض,التعاقد,1446,1,8
161,أنثى,سعودي,25-30,وزارة التجارة,لم يحدد,لم يحدد,مساعد إداري,تبوك,تبوك,التعاقد,1446,1,8
162,أنثى,سعودي,36-40,أمانة محافظة جدة,لم يحدد,لم يحدد,مساعد إداري,جدة,مكة المكرمة,التعاقد,1446,1,9
163,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس الصحة والسلامة والبيئة,الرياض,الرياض,التعاقد,1446,1,9
164,ذكر,سعودي,25-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس صناعي,الرياض,الرياض,التعاقد,1446,1,9
165,ذكر,سعودي,25-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس ميكانيكي,الرياض,الرياض,التعاقد,1446,1,9
166,ذكر,سعودي,20-24,بلدية القنفذة,لم يحدد,لم يحدد,مساعد إداري,القنفذة,مكة المكرمة,التعاقد,1446,1,9
167,ذكر,سعودي,31-35,جامعة الإمام محمد بن سعود,الصحيين,أخصائي,أخصائي,الرياض,الرياض,التعيين,1446,1,9
168,أنثى,سعودي,25-30,جامعة الجوف,لم يحدد,لم يحدد,محاضر,الجوف,الجوف,التعاقد,1446,1,9
169,ذكر,سعودي,25-30,جامعة الجوف,لم يحدد,لم يحدد,محاضر,الجوف,الجوف,التعاقد,1446,1,9
170,أنثى,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1446,1,9
171,ذكر,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1446,1,9
172,ذكر,سعودي,46-50,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1446,1,9
173,ذكر,سعودي,20-24,إمارة منطقة عسير,الموظفين,الرابعة,ناسخ آلة,القحمه,ابها,التعيين,1446,1,10
174,أنثى,سعودي,25-30,إمارة منطقة عسير,الموظفين,السادسة,كاتب,ابها,ابها,التعيين,1446,1,10
175,أنثى,سعودي,41-45,إمارة منطقة عسير,الموظفين,السادسة,مساعد إداري,المجارده,ابها,التعيين,1446,1,10
176,أنثى,سعودي,41-45,إمارة منطقة عسير,الموظفين,السادسة,مساعد إداري,محايل عسير,ابها,التعيين,1446,1,10
177,ذكر,سعودي,25-30,المديرية العامة للسجون,الموظفين,السادسة,مفتش منافذ ممارس أول,الرياض,الرياض,التعيين,1446,1,10
178,أنثى,سعودي,31-35,جامعة الجوف,أعضاء هيئة التدريس,محاضر,محاضر,الجوف,الجوف,التعيين,1446,1,10
