"رقم الموظف ",الجنس,الجنسية,"الفئة العمرية ",الجهة,الكادر الوظيفي,المرتبة الوظيفية,المسمى الوظيفي,المقر,المنطقة الإدارية,تصنيف العملية,السنة,الشهر,"اليوم "
124,ذكر,سعودي,26-30,رئاسة الإستخبارات العامة,الموظفين,الخامسة,مساعد إداري ممارس أول,الرياض,الرياض,التعيين,1445,10,6
125,ذكر,سعودي,41-45,وزارة البلديات والإسكان,المتعاقدين,متعاقد,مدير عام الوسائل الرقابية,الرياض,الرياض,التعاقد,1445,10,6
126,أنثى,سعودي,26-30,وزارة الخارجية,الدبلوماسيين,سكرتير ثاني,سكرتير ثاني,الرياض,الرياض,التعيين,1445,10,6
127,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الرياض,الرياض,التعاقد,1445,10,6
128,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,جدة,مكة المكرمة,التعاقد,1445,10,6
129,ذكر,سعودي,31-35,وزارة العدل,الموظفين,الثامنة,مراجع داخلي ممارس,الرياض,الرياض,التعيين,1445,10,6
130,ذكر,سعودي,57-61,أمانة حفر الباطن,المتعاقدين,متعاقد,مدير خدمات التراخيص,حفر الباطن,الدمام,التعاقد,1445,10,7
131,ذكر,سعودي,26-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,أخصائي ذكاء أعمال,الرياض,الرياض,التعاقد,1445,10,7
132,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس الصحة والسلامة والبيئة,الرياض,الرياض,التعاقد,1445,10,7
133,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس كهربائي,الرياض,الرياض,التعاقد,1445,10,7
134,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس مدني,الرياض,الرياض,التعاقد,1445,10,7
135,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس مدني,الرياض,الرياض,التعاقد,1445,10,7
136,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس مدني,الرياض,الرياض,التعاقد,1445,10,7
137,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس مدني,الرياض,الرياض,التعاقد,1445,10,7
138,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس معماري,الرياض,الرياض,التعاقد,1445,10,7
139,ذكر,سعودي,26-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس معماري,الرياض,الرياض,التعاقد,1445,10,7
140,ذكر,سعودي,26-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس معماري,الرياض,الرياض,التعاقد,1445,10,7
141,أنثى,سعودي,26-30,الأمانة العامة لمجلس الوزراء,المتعاقدين,متعاقد,مستشار قانوني   ,الرياض,الرياض,التعاقد,1445,10,7
142,ذكر,"مقيم ",41-45,جامعة الباحة,لم يحدد,لم يحدد,أستاذ مساعد,الباحه,الباحه,التعاقد,1445,10,7
143,أنثى,سعودي,41-45,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,مساعد إداري,احدالمسارحه,جازان,التعاقد,1445,10,7
144,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,كاتب,ابها,ابها,التعاقد,1445,10,7
145,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,مسجل معلومات,تبوك,تبوك,التعاقد,1445,10,7
146,ذكر,سعودي,26-30,وزارة الحرس الوطني,الموظفين,السادسة,أمين مستودع,الرياض,الرياض,التعيين,1445,10,7
147,ذكر,سعودي,46-50,وزارة الشؤون الإسلامية والدعوة والإرشاد,المستخدمين,الثالثة والثلاثون,مراسل مكتبي,الرياض,الرياض,التعيين,1445,10,7
148,أنثى,سعودي,26-30,وزارة الصحة,الصحيين,فني,فنية تمريض,مكة المكرمة,مكة المكرمة,التعيين,1445,10,7
149,أنثى,سعودي,26-30,وزارة الصحة,الصحيين,فني,فنية تمريض,مكة المكرمة,مكة المكرمة,التعيين,1445,10,7
150,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الاحساء,الدمام,التعاقد,1445,10,7
151,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,ابها,ابها,التعاقد,1445,10,7
152,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,فني تغذية,الاحساء,الدمام,التعاقد,1445,10,7
153,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,الاحساء,الدمام,التعاقد,1445,10,7
154,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,الاحساء,الدمام,التعاقد,1445,10,7
155,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,مساعد صيدلي,الجفر,الدمام,التعاقد,1445,10,7
156,أنثى,سعودي,31-35,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,فني,جدة,مكة المكرمة,التعاقد,1445,10,8
157,أنثى,سعودي,26-30,جامعة الإمام محمد بن سعود,أعضاء هيئة التدريس,معيد,معيد,الرياض,الرياض,التعيين,1445,10,8
158,ذكر,"مقيم ",36-40,جامعة الإمام محمد بن سعود,لم يحدد,لم يحدد,أستاذ مساعد,الرياض,الرياض,التعاقد,1445,10,8
159,ذكر,سعودي,31-35,جامعة حفر الباطن,لم يحدد,لم يحدد,محاضر,حفر الباطن,الدمام,التعاقد,1445,10,8
160,ذكر,"مقيم ",51-56,جامعة نجران,لم يحدد,لم يحدد,أستاذ مشارك,نجران,نجران,التعاقد,1445,10,8
161,ذكر,سعودي,41-45,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي استراتيجيات متقدم,الرياض,الرياض,التعاقد,1445,10,8
162,أنثى,سعودي,20-25,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,10,8
163,أنثى,سعودي,20-25,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,كاتب,ابو عريش,جازان,التعاقد,1445,10,8
164,أنثى,سعودي,51-56,وزارة التعليم,لم يحدد,لم يحدد,حارس,الرياض,الرياض,التعاقد,1445,10,8
165,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,كاتب,تبوك,تبوك,التعاقد,1445,10,8
166,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,تبوك,تبوك,التعاقد,1445,10,8
167,أنثى,سعودي,31-35,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,كاتب,الطائف,مكة المكرمة,التعاقد,1445,10,8
168,أنثى,سعودي,36-40,وزارة الصحة,لم يحدد,لم يحدد,فني معلومات صحية,الاحساء,الدمام,التعاقد,1445,10,8
169,ذكر,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,مساعد إداري,مكة المكرمة,مكة المكرمة,التعاقد,1445,10,8
170,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,مساعد صيدلي,الاحساء,الدمام,التعاقد,1445,10,8
171,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,مساعد صيدلي,الاحساء,الدمام,التعاقد,1445,10,8
172,ذكر,سعودي,51-56,إمارة منطقة الرياض,الموظفين,الخامسة عشر,وكيل الأمارة للشئون الأمنية,الرياض,الرياض,التعيين,1445,10,9
173,ذكر,سعودي,31-35,المؤسسة العامة للتدريب التقني والمهني,موظفي الجهات شبه الحكومية,التأمينات الاجتماعية لم يحدد 42,مساعد مبرمج,الرياض,الرياض,التعيين,1445,10,9
174,ذكر,سعودي,31-35,بلدية ظهران الجنوب,لم يحدد,لم يحدد,كاتب,ظهران الجنوب,ابها,التعاقد,1445,10,9
175,أنثى,سعودي,36-40,جامعة الطائف,لم يحدد,لم يحدد,فني مختبر,الطائف,مكة المكرمة,التعاقد,1445,10,9
176,ذكر,سعودي,41-45,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1445,10,9
177,ذكر,سعودي,41-45,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1445,10,9
178,ذكر,سعودي,26-30,رئاسة أمن الدولة,الموظفين,السادسة,باحث قانوني مساعد,الرياض,الرياض,التعيين,1445,10,9
179,ذكر,سعودي,31-35,رئاسة الإستخبارات العامة,المستخدمين,الثالثة والثلاثون,مراسل مكتبي,الرياض,الرياض,التعيين,1445,10,9
180,ذكر,سعودي,26-30,رئاسة الإستخبارات العامة,المستخدمين,الثالثة والثلاثون,مراسل مكتبي,الرياض,الرياض,التعيين,1445,10,9
